,anime_id,title,type,source,episodes,rating,score,producer,studio,genre,release_season,is_licensed,nr_synonyms,min_duration,op_artists,ed_artists
27,9513,Beelzebub,TV,Manga,60,PG-13 - Teens 13 or older,8.02,"Studio Pierrot, Dentsu, Yomiuri Telecasting, Shueisha",Pierrot Plus,"Action, Comedy, Demons, Supernatural, School, Shounen",Winter,True,0,24.0,"GROUP Tamashii,:, FLOW,:, MBLAQ","NO3B,:, Tomato n&#039; Pine,:, 9nine"
28,5835,Hanasakeru Seishounen,TV,Manga,39,PG-13 - Teens 13 or older,7.87,,Studio Pierrot,"Drama, Romance, Shoujo",Spring,False,1,24.0,J-Min,J-Min
29,9863,SKET Dance,TV,Manga,77,PG-13 - Teens 13 or older,8.33,"TV Tokyo, Avex Entertainment, Dentsu",Tatsunoko Production,"Comedy, School, Shounen",Spring,True,0,24.0,"French Kiss,:, Gackt,:, everset","French Kiss,:, The Pillows,:, The Sketchbook,:, The Sketchbook,:, The Sketchbook,:, The Sketchbook,:, Kaimei Gakuen Seitokai Shikko-bu (開盟学園生徒会執行部)"
30,7817,B-gata H-kei,TV,4-koma manga,12,R+ - Mild Nudity,7.1,"Dentsu, AT-X, DAX Production, Happinet Pictures, BIGLOBE, Shueisha, AG-ONE, RAY","Hal Film Maker, TYO Animations","Comedy, Romance, Ecchi, School, Seinen",Spring,True,0,24.0,Yukari Tamura,Yukari Tamura
31,966,Crayon Shin-chan,TV,Manga,0,PG - Children,7.73,TV Asahi,Shin-Ei Animation,"Slice of Life, Comedy, Ecchi, School, Seinen",Spring,True,0,21.0,"Tune&#039;s,:, Akiko Yajima,:, Puppy,:, Lady Q, Akiko Yajima & Miki Narahashi,:, Akiko Yajima,:, Akiko Yajima and AKB48,:, Kan Jani Eight (関ジャニ∞),:, Kyary Pamyu Pamyu","Daiji-Man Brothers Band,:, Sakurakko Club - Sakura-kumi,:, Maron Koushaku & Akiko Yajima,:, Aki Okui,:, L&#039;luvia,:, Sachiko Kobayashi,:, Sachiko Kobayashi,:, Dance Man,:, the Nohara Family All Stars"
32,120,Fruits Basket,TV,Manga,26,PG-13 - Teens 13 or older,7.77,"TV Tokyo, Nihon Ad Systems, King Records",Studio Deen,"Slice of Life, Comedy, Drama, Romance, Fantasy, Shoujo",Summer,True,1,24.0,Ritsuko Okazaki,Ritsuko Okazaki
33,957,Saiunkoku Monogatari,TV,Light novel,39,PG-13 - Teens 13 or older,8.04,"NHK, Sogo Vision",Madhouse,"Adventure, Fantasy, Comedy, Romance, Historical, Drama",Spring,True,5,25.0,Ayaka Hirahara,Sachi Tainaka
34,21,One Piece,TV,Manga,0,PG-13 - Teens 13 or older,8.54,"Fuji TV, TAP, Shueisha",Toei Animation,"Action, Adventure, Comedy, Super Power, Drama, Fantasy, Shounen",Fall,True,1,24.0,"Hiroshi Kitadani,:, The Babystars,:, BOYSTYLE,:, the Straw Hat Pirates,:, 5050,:, TVXQ,:, The Rootless,:, Hiroshi Kitadani,:, AAA,:, Kishidan and Hiroshi Kitadani","Maki Otsuki,:, TOMATO CUBE,:, AI-SACHI,:, Takako Uehara,:, the Straw Hat Pirates,:, Ruppina,:, shela,:, Tackey & Tsubasa,:, TRIPLANE,:, Delicatessen,:, Hiroshi Kitadani"
35,1974,Glass no Kamen (2005),TV,Manga,51,G - All Ages,8.18,"TMS Entertainment, MediaNet",Tokyo Movie Shinsha,"Drama, Shoujo",Spring,True,0,25.0,Candy,"Aina,:, Splash Candy"
36,857,Air Gear,TV,Manga,25,R+ - Mild Nudity,7.64,"Marvelous, Kodansha",Toei Animation,"Action, Comedy, Ecchi, Shounen, Sports",Spring,True,0,24.0,Back-on,skankfunk
37,1914,Saiunkoku Monogatari 2nd Season,TV,Light novel,39,PG-13 - Teens 13 or older,8.16,"NHK, Sogo Vision",Madhouse,"Adventure, Comedy, Drama, Fantasy, Historical, Romance",Spring,True,3,25.0,Ayaka Hirahara,Teruya Miho
38,249,InuYasha,TV,Manga,167,PG-13 - Teens 13 or older,7.9,"Yomiuri Telecasting, Shogakukan",Sunrise,"Action, Adventure, Comedy, Historical, Demons, Supernatural, Magic, Romance, Fantasy, Shounen",Fall,True,1,24.0,"V6,:, Nanase Aikawa,:, Tackey & Tsubasa","Dream,:, Ayumi Hamasaki,:, Do As Infinity,:, Namie Amuro"
39,6645,Chu-Bra!!,TV,Manga,12,PG-13 - Teens 13 or older,6.3,GANSIS,Zexcs,"Ecchi, Comedy, School, Seinen",Winter,True,3,24.0,"Minori Chihara, Minako Kotobuki, Sayuri Yahagi and Yoko Hikasa","Minori Chihara, Minako Kotobuki, Sayuri Yahagi and Yoko Hikasa"
40,5690,Nodame Cantabile Finale,TV,Manga,11,PG-13 - Teens 13 or older,8.34,"Fuji TV, Sony Music Entertainment",J.C.Staff,"Comedy, Josei, Music, Romance",Winter,False,3,22.0,Yuu Sakai (さかいゆう),Real Paradis with Nodame Orchestra
41,1571,Ghost Hunt,TV,Novel,25,PG-13 - Teens 13 or older,7.92,"TV Tokyo, Avex Entertainment, Marvelous, Delfi Sound",J.C.Staff,"Comedy, Horror, Mystery, Shoujo, Supernatural",Fall,True,0,25.0,Masuda Toshio,Masuda Toshio
42,11759,Accel World,TV,Light novel,24,PG-13 - Teens 13 or older,7.53,"Genco, Rakuonsha, Warner Bros., flying DOG, ASCII Media Works",Sunrise,"Action, Game, Sci-Fi, Romance, School",Spring,True,1,24.0,May&#039;n,"May&#039;n,:, Sachika Misawa"
43,7674,Bakuman.,TV,Manga,25,PG-13 - Teens 13 or older,8.32,"NHK, Shueisha",J.C.Staff,"Comedy, Drama, Romance, Shounen",Fall,True,1,24.0,Kobukuro,"YA-KYIM,:, Kobukuro"
44,1698,Nodame Cantabile,TV,Manga,23,PG-13 - Teens 13 or older,8.41,"Dentsu, Genco, Kodansha, Fuji TV, Magic Capsule, Sony Music Entertainment, Fuji Pacific Music Publishing",J.C.Staff,"Music, Slice of Life, Comedy, Drama, Romance, Josei",Winter,True,0,22.0,SUEMITSU & THE SUEMITH,Crystal Kay
45,14713,Kamisama Hajimemashita,TV,Manga,13,PG-13 - Teens 13 or older,8.14,"TV Tokyo, Dentsu, Sotsu, Pony Canyon, Hakusensha, DAX Production",TMS Entertainment,"Comedy, Demons, Supernatural, Romance, Fantasy, Shoujo",Fall,True,0,24.0,Hanae,Hanae
46,232,Cardcaptor Sakura,TV,Manga,70,PG - Children,8.21,"NHK, Kodansha, Sogo Vision, YTV",Madhouse,"Adventure, Comedy, Drama, Magic, Romance, Fantasy, School, Shoujo",Spring,True,3,25.0,"Gumi,:, Maaya Sakamoto","Koumi Hirose,:, ANZA,:, Maaya Sakamoto"
47,233,Daa! Daa! Daa!,TV,Manga,78,G - All Ages,7.78,,J.C.Staff,"Comedy, Sci-Fi, Shoujo",Spring,False,2,25.0,Reika Nakajima,"TRF,:, Hitomi Mieno"
48,9656,Kimi ni Todoke 2nd Season,TV,Manga,12,PG-13 - Teens 13 or older,8.12,"VAP, Nippon Television Network, Shueisha",Production I.G,"Slice of Life, Drama, Romance, School, Shoujo",Winter,True,2,23.0,Tomofumi Tanizawa,MAY&#039;S
49,9926,Sekaiichi Hatsukoi,TV,Manga,12,PG-13 - Teens 13 or older,8.07,"Lantis, Kadokawa Shoten, AT-X, DAX Production, KlockWorx",Studio Deen,"Comedy, Drama, Romance, Shounen Ai",Spring,True,3,23.0,Shuuhei Kita,Wakaba (ワカバ)
50,2564,Code-E,TV,Original,12,G - All Ages,6.49,Nagoya TV Housou,Studio Deen,"Comedy, Romance, School, Sci-Fi, Slice of Life",Summer,False,0,24.0,Caoli Cano,Caoli Cano
51,3092,Junjou Romantica,TV,Manga,12,PG-13 - Teens 13 or older,7.99,"Frontier Works, Kadokawa Shoten, Memory-Tech, Romantica club !!",Studio Deen,"Comedy, Drama, Romance, Shounen Ai",Spring,True,2,24.0,pigstar,
52,1579,Kiniro no Corda: Primo Passo,TV,Visual novel,25,PG-13 - Teens 13 or older,7.63,"Aniplex, Hakusensha, Koei, TYO",Yumeta Company,"Comedy, Drama, Harem, Magic, Music, Romance, School, Shoujo",Fall,True,4,24.0,Kanon,Stella Quintet
53,32370,D.Gray-man Hallow,TV,Manga,13,R - 17+ (violence & profanity),7.92,"TV Tokyo, Aniplex, Dentsu, Shueisha",TMS Entertainment,"Action, Adventure, Super Power, Demons, Shounen",Summer,True,0,24.0,Lenny code fiction,Mashiro Ayano
54,11547,Sengoku☆Paradise Kiwami,TV,Unknown,26,PG-13 - Teens 13 or older,6.2,"TV Tokyo, G-mode","Milky Cartoon, LMD","Action, Comedy, Drama, Historical, Romance, Samurai, Shoujo",Fall,False,0,3.0,Tetsuya Kakihara,Tetsuya Kakihara
56,7518,Boku wa Kuma,Music,Original,1,G - All Ages,5.79,"NHK, dwarf",,"Kids, Music, Slice of Life",Fall,False,3,2.0,,
57,16642,Ane Koi: Suki Kirai Daisuki.,OVA,Manga,2,Rx - Hentai,7.03,Pashmina,,Hentai,Winter,False,0,26.0,,
58,7605,Parasol Henbei,TV,Unknown,200,PG - Children,6.39,,,"Adventure, Comedy, Fantasy, Kids, Magic",Fall,False,2,10.0,,
59,9389,Ginga Hyouryuu Vifam: Kieta 12-nin,OVA,Unknown,1,G - All Ages,6.29,,Sunrise,"Sci-Fi, Adventure, Space, Mecha",Winter,False,2,57.0,,
60,34152,Super Danganronpa 2.5: Komaeda Nagito to Sekai no Hakaimono,OVA,Original,1,R - 17+ (violence & profanity),7.4,,Lerche,"Action, Mystery, Horror, Psychological",Winter,False,1,25.0,,
62,153,Juuni Kokuki,TV,Novel,45,PG-13 - Teens 13 or older,8.13,Sogo Vision,Studio Pierrot,"Action, Adventure, Fantasy, Magic, Supernatural",Spring,True,2,25.0,"Kunihiko, Ryo","Arisaka, Mika"
63,27417,Diabolik Lovers OVA,OVA,Visual novel,1,PG-13 - Teens 13 or older,6.04,Frontier Works,"Production I.G, Zexcs","Harem, School, Vampire, Shoujo",Winter,False,0,11.0,,Yuki Sugiura
64,5588,Ko Ko Ro,OVA,Unknown,2,Rx - Hentai,5.34,,,Hentai,Winter,False,1,30.0,,
65,23903,Tuzki: Love Assassin,ONA,Unknown,1,R - 17+ (violence & profanity),5.87,,Studio 4°C,"Comedy, Romance",Winter,False,0,2.0,,
66,13247,Lupin III: Lupin Ikka Seizoroi,Special,Unknown,1,PG-13 - Teens 13 or older,6.87,Tokyo Movie Shinsha,,"Adventure, Comedy, Seinen",Spring,False,3,10.0,,
68,1051,Ao no 6-gou,OVA,Manga,4,PG-13 - Teens 13 or older,7.14,,Gonzo,"Action, Adventure, Mecha, Military, Sci-Fi",Fall,True,3,32.0,,The Thrill ft. Yukarie
69,12447,Ben-To Picture Drama,Special,Light novel,6,PG-13 - Teens 13 or older,6.15,AT-X,David Production,Comedy,Winter,False,5,9.0,,
70,3294,Gasshin Sentai Mechander Robo,TV,Unknown,35,PG-13 - Teens 13 or older,6.17,Wako Productions,,"Space, Mecha, Military, Mystery, Sci-Fi",Spring,True,1,23.0,"Columbia Yurikago Kai, Ichirou Mizuki","Ichirou Mizuki, Koorogi &#039;73"
71,1381,Seikai no Monshou Special,Special,Light novel,1,PG-13 - Teens 13 or older,7.35,"Bandai Visual, WOWOW, BeSTACK",Sunrise,"Action, Military, Romance, Sci-Fi, Space",Spring,False,2,60.0,,
72,8022,Tegamibachi Gakuen,Special,Original,25,PG-13 - Teens 13 or older,7.42,,Studio Pierrot,Comedy,Winter,True,2,3.0,,
74,33775,Soul Buster,TV,Manga,12,PG-13 - Teens 13 or older,5.91,MAGES.,Studio Pierrot,"Action, Samurai",Fall,True,1,13.0,Ayane,Zwei
75,20667,Mobile Suit Gundam: Zeonic Front - Indignation of Zeon.,Special,Unknown,1,PG-13 - Teens 13 or older,5.86,Bandai,Sunrise,"Mecha, Military",Fall,False,2,10.0,,
78,14353,Death Billiards,Movie,Original,1,R - 17+ (violence & profanity),8.01,,Madhouse,"Game, Mystery, Psychological, Drama, Thriller",Spring,True,3,25.0,,
79,32747,Fake Style II,Music,Music,1,PG - Children,5.85,Rambling Records,,Music,Summer,False,1,3.0,,
80,5235,Live On Cardliver Kakeru,TV,Manga,51,PG - Children,6.86,"Sotsu, Sakura Create",TMS Entertainment,"Game, Fantasy",Fall,False,0,23.0,Hideaki Takatori,Akira Kushida
81,8154,Gegege no Kitarou: Saikyou Youkai Gundan! Nippon Jouriku!!,Movie,Unknown,1,G - All Ages,6.17,,Toei Animation,"Adventure, Comedy, Fantasy, Horror, Supernatural",Summer,True,0,49.0,,
82,5117,Kokudo Oh,OVA,Visual novel,5,Rx - Hentai,6.08,"Five Ways, JapanAnime",,"Fantasy, Hentai",Fall,True,1,30.0,,
83,26443,Triage X,TV,Manga,10,R+ - Mild Nudity,6.41,"DAX Production, Nippon Columbia",Xebec,"Action, Adventure, Ecchi, Shounen",Spring,True,0,23.0,Saeko Zougou featuring Nagareda Project,Kazutomi Yamamoto
84,16251,Shinkai no Kantai: Submarine 707,OVA,Manga,1,,5.73,,"J.C.Staff, Toei Animation","Action, Adventure, Military, Sci-Fi",Winter,False,1,46.0,,
85,6777,Densha Kamo Shirenai,Music,Music,1,G - All Ages,5.62,,,Music,Summer,True,1,4.0,,
87,36847,Nanatsu no Bitoku,TV,Other,10,R+ - Mild Nudity,5.2,Hobby Japan,Bridge,"Ecchi, Fantasy",Winter,True,0,5.0,Yousei Teikoku,
88,29765,Metropolis (2009),Movie,Unknown,1,G - All Ages,6.26,Mirai Film,,,,False,0,4.0,,
89,32561,Hai to Gensou no Grimgar Special,Special,Light novel,1,PG-13 - Teens 13 or older,6.65,,A-1 Pictures,Comedy,Spring,True,6,11.0,(K)NoW_NAME,(K)NoW_NAME
90,24275,Medamayaki no Kimi Itsu Tsubusu?,Special,Manga,4,G - All Ages,5.92,NHK,Fanworks,"Comedy, Seinen",Summer,False,0,18.0,,Gou Oohinata
92,3669,Duel Masters Movie 1: Yami no Shiro no Maryuuou,Movie,Original,1,PG - Children,5.96,Shogakukan Productions,,"Adventure, Kids",Spring,False,2,45.0,,
93,1811,Bounty Dog: Getsumen no Ibu,OVA,Original,2,R - 17+ (violence & profanity),5.63,"Starchild Records, Movic, Toho",Animate Film,"Action, Sci-Fi, Space",Fall,True,0,29.0,Kasumi,
94,5036,Hurricane Live! 2033,Special,Unknown,7,PG-13 - Teens 13 or older,6.73,AIC,,Music,Summer,False,1,4.0,,
95,9690,Densetsu no Yuusha no Densetsu: Iris Report,Special,Unknown,1,R - 17+ (violence & profanity),6.6,Kadokawa Contents Gate,Zexcs,"Action, Adventure, Fantasy, Magic, Shounen",Fall,True,3,23.0,Ceui,Ayahi Takagaki
96,9721,Aisai Nikki,OVA,Visual novel,1,Rx - Hentai,6.54,Pink Pineapple,G-Lam,Hentai,Winter,False,0,22.0,,
97,812,Chikyuu Shoujo Arjuna,TV,Original,13,PG-13 - Teens 13 or older,6.95,"Bandai Visual, Sotsu",Satelight,"Adventure, Drama, Magic, Sci-Fi",Winter,True,2,26.0,Maaya Sakamoto,"Maaya Sakamoto,:, Maaya Sakamoto,:, Maaya Sakamoto,:, Maaya Sakamoto"
98,19849,Peeping Life 5.0ch,OVA,Original,10,G - All Ages,5.51,CoMix Wave Films,,"Comedy, Slice of Life",Winter,False,0,5.0,,
99,7791,K-On!!,TV,4-koma manga,26,PG-13 - Teens 13 or older,8.14,"Pony Canyon, TBS, Movic, Rakuonsha, Animation Do",Kyoto Animation,"Comedy, Music, School, Slice of Life",Spring,True,2,24.0,HTT (Houkago Tea Time),HTT (Houkago Tea Time)
100,747,Haru wo Daite Ita,OVA,Manga,2,R+ - Mild Nudity,6.93,"Frontier Works, On-Lead",Trinet Entertainment,"Drama, Romance, Yaoi",Spring,True,1,30.0,Toshiyuki Morikawa,Shinichiro Miki
101,11009,Pokemon 3D Adventure 2: Pikachu no Kaitei Daibouken,Movie,Game,1,PG - Children,7.13,,OLM,"Adventure, Comedy, Fantasy, Kids",Spring,True,1,14.0,,Inuko Inuyama
102,8726,Soredemo Machi wa Mawatteiru,TV,Manga,12,PG-13 - Teens 13 or older,7.47,"Pony Canyon, TBS, Movic, Magic Bus, Studio Pastoral, flying DOG, Memory-Tech",Shaft,"Comedy, Slice of Life",Fall,True,1,24.0,Maaya Sakamoto,Maids
104,33155,Code Geass: Hangyaku no Lelouch Picture Drama - Hajimari no Zenya,Special,Original,1,PG-13 - Teens 13 or older,6.24,Bandai Visual,,"Action, School",Fall,False,2,3.0,,
105,10869,Scan2Go,TV,Unknown,52,G - All Ages,6.23,d-rights,SynergySP,"Cars, Kids, Shounen, Space, Sports",Summer,True,0,25.0,,
106,12589,3 Choume no Tama: Onegai! Momo-chan wo Sagashite!!,Movie,Unknown,1,G - All Ages,6.14,Group TAC,,"Adventure, Kids",Summer,False,2,43.0,,Yumi Tanimura (谷村有美)
107,3981,Shokuzai no Kyoushitsu,OVA,Unknown,2,Rx - Hentai,5.36,Y.O.U.C,,Hentai,Winter,True,0,30.0,,
108,15813,Majokko Shimai no Yoyo to Nene,Movie,Manga,1,G - All Ages,7.57,"Aniplex, Starchild Records, Tokuma Shoten",ufotable,"Fantasy, Magic",Winter,True,1,60.0,,Mikako Komatsu
110,33462,Bernard-jou Iwaku.,TV,Manga,12,PG-13 - Teens 13 or older,6.03,"DAX Production, Dream Creation, Gen&#039;ei",Creators in Pack,"Comedy, School",Fall,True,0,3.0,,Shoujo Fractal (少女フラクタル)
111,12569,Himitsu no Akko-chan (Movie),Movie,Unknown,1,G - All Ages,6.0,,Toei Animation,"Magic, School, Shoujo",Spring,False,2,25.0,Mitsuko Horie,"Time Five (タイム・ファイブ), Mitsuko Horie"
112,34908,Calihara no Uta,Movie,Original,1,G - All Ages,5.56,,,"Music, Kids",Spring,False,1,4.0,,
113,1586,Aoi Umi no Tristia,OVA,Visual novel,2,PG - Children,5.81,,ufotable,"Adventure, Mecha",Spring,False,1,27.0,Sakura Nogawa,Yukihide Takekawa
114,1778,Dae Jang Geum: Jang Geum&#039;s Dream,TV,Other,26,PG - Children,7.22,Heewon Entertainment,,"Adventure, Comedy, Historical",Fall,False,4,24.0,Younha,Lee Seung Hwan (이승환)
115,20057,Space☆Dandy,TV,Original,13,PG-13 - Teens 13 or older,7.88,"Bandai Visual, flying DOG, Bandai Namco Entertainment",Bones,"Sci-Fi, Space, Comedy",Winter,True,0,24.0,Yasuyuki Okamura,Etsuko Yakushimaru
116,18637,Tetsuwan Atom: Ivan no Wakusei - Robot to Ningen no Yuujou,Movie,Unknown,1,G - All Ages,6.3,Tezuka Productions,,"Action, Mecha, Super Power, Sci-Fi, Shounen",Fall,False,3,20.0,,
117,6828,Ohi-sama to Kaeru,Movie,Original,1,G - All Ages,4.2,,,Comedy,,True,2,1.0,,
118,30347,Nanatsu no Taizai OVA,OVA,Manga,2,PG-13 - Teens 13 or older,7.77,Aniplex,A-1 Pictures,"Action, Adventure, Supernatural, Magic, Fantasy, Shounen",Summer,False,2,24.0,MAN WITH A MISSION,Alisa Takigawa
